survey_id,event_id,event_title,survey_date,source_of_hearing,age_group,annual_household_income,overal_event_expression,feeback_suggestion,genre,text_A,text_B,combined_text,sentiment_score,month_str
219,178.0,Celtic Christmas,2024-12-06,"Walla Walla Union Bulletin, The Entertainer, Social Media (Facebook, Twitter, Instagram), Email",66+,"$50,000 or below","It all seemed top-notch to me! It was a wonderful show, with nothing disappointing me. I could see and hear everything. ",Thank you for sending the parking suggestions ahead of time. It took part of the anxiety out of driving myself there. (I have always come with someone else prior to this.),Workshop / Class,"It all seemed top-notch to me! It was a wonderful show, with nothing disappointing me. I could see and hear everything. ",Thank you for sending the parking suggestions ahead of time. It took part of the anxiety out of driving myself there. (I have always come with someone else prior to this.),"It all seemed top-notch to me! It was a wonderful show, with nothing disappointing me. I could see and hear everything.  Thank you for sending the parking suggestions ahead of time. It took part of the anxiety out of driving myself there. (I have always come with someone else prior to this.)",0.35,2024-12-01
220,178.0,Celtic Christmas,2024-12-06,Email,66+,"$50,001 - $100,000",Lovely show - enjoyed the experience!,,Workshop / Class,Lovely show - enjoyed the experience!,,Lovely show - enjoyed the experience! ,0.5625,2024-12-01
221,178.0,Celtic Christmas,2024-12-06,Gesa Power House Theatre website (www.phtww.org),66+,"$100,001 - $200,000",,,Workshop / Class,,, ,,2024-12-01
222,178.0,Celtic Christmas,2024-12-06,Gesa Power House Theatre website (www.phtww.org),66+,"$50,001 - $100,000",First class.,,Workshop / Class,First class.,,First class. ,0.25,2024-12-01
223,178.0,Celtic Christmas,2024-12-06,Gesa Power House Theatre website (www.phtww.org),66+,"$200,001 or above",Excellent Performance!,It was a wonderful evening.  Intermission might have been a bit shorter.,Workshop / Class,Excellent Performance!,It was a wonderful evening.  Intermission might have been a bit shorter.,Excellent Performance! It was a wonderful evening.  Intermission might have been a bit shorter.,1.0,2024-12-01
224,178.0,Celtic Christmas,2024-12-06,Word of Mouth,66+,,Excellent show,No suggestion ,Workshop / Class,Excellent show,No suggestion ,Excellent show No suggestion ,1.0,2024-12-01
225,178.0,Celtic Christmas,2024-12-06,Other,66+,,"We love this theater!  It is cozy, intimate, and wonderful!.  There are no bad seats.  Generally the audience is respectful due to the atmosphere.  The staff is very helpful and friendly.",,Workshop / Class,"We love this theater!  It is cozy, intimate, and wonderful!.  There are no bad seats.  Generally the audience is respectful due to the atmosphere.  The staff is very helpful and friendly.",,"We love this theater!  It is cozy, intimate, and wonderful!.  There are no bad seats.  Generally the audience is respectful due to the atmosphere.  The staff is very helpful and friendly. ",0.2975,2024-12-01
226,178.0,Celtic Christmas,2024-12-06,Poster,56-65,"$100,001 - $200,000","The sound was great, but hard to see from the side balcony.",,Workshop / Class,"The sound was great, but hard to see from the side balcony.",,"The sound was great, but hard to see from the side balcony. ",0.3027777777777778,2024-12-01
227,178.0,Celtic Christmas,2024-12-06,"Word of Mouth, Gesa Power House Theatre website (www.phtww.org)",66+,"$50,001 - $100,000",Amazing!!!,,Workshop / Class,Amazing!!!,,Amazing!!! ,1.0,2024-12-01
228,178.0,Celtic Christmas,2024-12-06,"Social Media (Facebook, Twitter, Instagram), Email",66+,"$50,001 - $100,000","We have heard the group in past years. We were not pleased with our seats. As soon as I heard about the dates I called in and asked for best available. We were give n seats that were stage right that were BEHIND the group. Frequently the violin player turned her head so we could see her whole face, but we rarely saw more than a profile of the lead singer. The sound was fine because we didn't need the mics to hear everything, couldn't really tell you whether the lighting was good or not, we couldn't see. The value was not there. I have back and balance issues so sitting on folding chairs when I expected a ""theatre"" type chair was unacceptable. I should have been warned where the seats were and what I would be sitting on before I purchased my tickets. Also, why didn't your ushers have a diagram of the theatre to help people find their seats, we were told THREE or FOUR times where to sit before we found our folding chairs.","Gerald Friesen, 509-540-1464. The lady we finally had that helped us find our seats was great, she offered to let me get up and walk around during the show and she knew exactly where our seats were, she did have a name tag on that looked like she was someone important. If more of your workers were like her there would be less people people  like me that had to stand and wait while an usher went and got instructions.....that turned out to be WRONG. I had to use the rest room  twice because it took so long to find my folding chair. At least buy 12 to 18 folding chairs that are comfortable to sit on and give these things to someone who deals in SCRAP metal.",Workshop / Class,"We have heard the group in past years. We were not pleased with our seats. As soon as I heard about the dates I called in and asked for best available. We were give n seats that were stage right that were BEHIND the group. Frequently the violin player turned her head so we could see her whole face, but we rarely saw more than a profile of the lead singer. The sound was fine because we didn't need the mics to hear everything, couldn't really tell you whether the lighting was good or not, we couldn't see. The value was not there. I have back and balance issues so sitting on folding chairs when I expected a ""theatre"" type chair was unacceptable. I should have been warned where the seats were and what I would be sitting on before I purchased my tickets. Also, why didn't your ushers have a diagram of the theatre to help people find their seats, we were told THREE or FOUR times where to sit before we found our folding chairs.","Gerald Friesen, 509-540-1464. The lady we finally had that helped us find our seats was great, she offered to let me get up and walk around during the show and she knew exactly where our seats were, she did have a name tag on that looked like she was someone important. If more of your workers were like her there would be less people people  like me that had to stand and wait while an usher went and got instructions.....that turned out to be WRONG. I had to use the rest room  twice because it took so long to find my folding chair. At least buy 12 to 18 folding chairs that are comfortable to sit on and give these things to someone who deals in SCRAP metal.","We have heard the group in past years. We were not pleased with our seats. As soon as I heard about the dates I called in and asked for best available. We were give n seats that were stage right that were BEHIND the group. Frequently the violin player turned her head so we could see her whole face, but we rarely saw more than a profile of the lead singer. The sound was fine because we didn't need the mics to hear everything, couldn't really tell you whether the lighting was good or not, we couldn't see. The value was not there. I have back and balance issues so sitting on folding chairs when I expected a ""theatre"" type chair was unacceptable. I should have been warned where the seats were and what I would be sitting on before I purchased my tickets. Also, why didn't your ushers have a diagram of the theatre to help people find their seats, we were told THREE or FOUR times where to sit before we found our folding chairs. Gerald Friesen, 509-540-1464. The lady we finally had that helped us find our seats was great, she offered to let me get up and walk around during the show and she knew exactly where our seats were, she did have a name tag on that looked like she was someone important. If more of your workers were like her there would be less people people  like me that had to stand and wait while an usher went and got instructions.....that turned out to be WRONG. I had to use the rest room  twice because it took so long to find my folding chair. At least buy 12 to 18 folding chairs that are comfortable to sit on and give these things to someone who deals in SCRAP metal.",0.18598901098901102,2024-12-01
229,178.0,Celtic Christmas,2024-12-06,"Social Media (Facebook, Twitter, Instagram)",66+,"$50,001 - $100,000",Chilly ,,Workshop / Class,Chilly ,,Chilly  ,-0.6,2024-12-01
230,178.0,Celtic Christmas,2024-12-06,Email,66+,"$50,001 - $100,000",Fabulous show! A must see for the Christmas season.,,Workshop / Class,Fabulous show! A must see for the Christmas season.,,Fabulous show! A must see for the Christmas season. ,0.5,2024-12-01
231,178.0,Celtic Christmas,2024-12-06,"Social Media (Facebook, Twitter, Instagram)",56-65,,It was magical and so entertaining!,,Workshop / Class,It was magical and so entertaining!,,It was magical and so entertaining! ,0.5625,2024-12-01
232,178.0,Celtic Christmas,2024-12-06,Word of Mouth,66+,,Outstanding!,,Workshop / Class,Outstanding!,,Outstanding! ,0.625,2024-12-01
233,188.0,LW Holiday Films Sensory-Friendly,2024-12-08,Other,36-45,"$50,001 - $100,000",Yes,,Film Screening,Yes,,Yes ,0.0,2024-12-01
234,188.0,LW Holiday Films Sensory-Friendly,2024-12-08,Other,56-65,"$50,001 - $100,000",Beautiful theater. Lights and sound level was perfect (sensory friendly showing). Excellent value.,Enjoy early (matinee) show options. ,Film Screening,Beautiful theater. Lights and sound level was perfect (sensory friendly showing). Excellent value.,Enjoy early (matinee) show options. ,Beautiful theater. Lights and sound level was perfect (sensory friendly showing). Excellent value. Enjoy early (matinee) show options. ,0.5892857142857143,2024-12-01
235,184.0,Little Watts Holiday Films,2024-12-08,Gesa Power House Theatre website (www.phtww.org),56-65,"$50,000 or below","Very nice. Too brief though. I come every year. The only change I would make is to go back to having it in the evening for adults. 
",,Film Screening,"Very nice. Too brief though. I come every year. The only change I would make is to go back to having it in the evening for adults. 
",,"Very nice. Too brief though. I come every year. The only change I would make is to go back to having it in the evening for adults. 
 ",0.195,2024-12-01
236,178.0,Celtic Christmas,2024-12-06,"Walla Walla Union Bulletin, Gesa Power House Theatre website (www.phtww.org), Other",56-65,,very nice,"railing a little low in balcony font seating area, a little scary watching people walk in front of the front row people",Workshop / Class,very nice,"railing a little low in balcony font seating area, a little scary watching people walk in front of the front row people","very nice railing a little low in balcony font seating area, a little scary watching people walk in front of the front row people",-0.018999999999999996,2024-12-01
237,178.0,Celtic Christmas,2024-12-06,Gesa Power House Theatre website (www.phtww.org),46-55,"$50,001 - $100,000",It was a night to remember for me.I t was wonderfully done.,,Workshop / Class,It was a night to remember for me.I t was wonderfully done.,,It was a night to remember for me.I t was wonderfully done. ,1.0,2024-12-01
238,178.0,Celtic Christmas,2024-12-06,Walla Walla Union Bulletin,66+,"$50,001 - $100,000",The concert was very good. We enjoyed it immensely. ,,Workshop / Class,The concert was very good. We enjoyed it immensely. ,,The concert was very good. We enjoyed it immensely.  ,0.47,2024-12-01
239,188.0,LW Holiday Films Sensory-Friendly,2024-12-08,Other,46-55,"$100,001 - $200,000",Ambience perfect. ,We enjoyed the decreased sound and increased lighting as my son has Down syndrome and is sensitive to external stimuli.,Film Screening,Ambience perfect. ,We enjoyed the decreased sound and increased lighting as my son has Down syndrome and is sensitive to external stimuli.,Ambience perfect.  We enjoyed the decreased sound and increased lighting as my son has Down syndrome and is sensitive to external stimuli.,0.20634920634920634,2024-12-01
240,184.0,Little Watts Holiday Films,2024-12-08,"Walla Walla Union Bulletin, Gesa Power House Theatre website (www.phtww.org)",56-65,,Great value and a fine venue. I look forward to the holiday shorts each year.,,Film Screening,Great value and a fine venue. I look forward to the holiday shorts each year.,,Great value and a fine venue. I look forward to the holiday shorts each year. ,0.6083333333333334,2024-12-01
241,178.0,Celtic Christmas,2024-12-06,Email,66+,"$200,001 or above",Wonderfull,,Workshop / Class,Wonderfull,,Wonderfull ,0.0,2024-12-01
242,110.0,Chronicles of a Wandering Saint,2024-12-11,Gesa Power House Theatre website (www.phtww.org),36-45,"$50,001 - $100,000","Had a great time. Movie was quirky, as we expected. Venue is always good. Not a bad seat in the house. Hosts were friendly and welcoming, as usual.","Nothing comes to mind. Just wish there were more attendees, for your sake. We drove in from Kennewick.",Theatre Play,"Had a great time. Movie was quirky, as we expected. Venue is always good. Not a bad seat in the house. Hosts were friendly and welcoming, as usual.","Nothing comes to mind. Just wish there were more attendees, for your sake. We drove in from Kennewick.","Had a great time. Movie was quirky, as we expected. Venue is always good. Not a bad seat in the house. Hosts were friendly and welcoming, as usual. Nothing comes to mind. Just wish there were more attendees, for your sake. We drove in from Kennewick.",0.296875,2024-12-01
243,178.0,Celtic Christmas,2024-12-06,Gesa Power House Theatre website (www.phtww.org),56-65,"$100,001 - $200,000",The performance was all around excellent and delightful.,,Workshop / Class,The performance was all around excellent and delightful.,,The performance was all around excellent and delightful. ,1.0,2024-12-01
244,178.0,Celtic Christmas,2024-12-15,Other,56-65,,Positive overall. It was a little difficult to see all three artists from the balcony but we still enjoyed the show.,,Workshop / Class,Positive overall. It was a little difficult to see all three artists from the balcony but we still enjoyed the show.,,Positive overall. It was a little difficult to see all three artists from the balcony but we still enjoyed the show. ,0.007954545454545459,2024-12-01
245,178.0,Celtic Christmas,2024-12-15,"Social Media (Facebook, Twitter, Instagram)",56-65,"$50,001 - $100,000","During one set the background music was scratchy.  Other than that, good..",,Workshop / Class,"During one set the background music was scratchy.  Other than that, good..",,"During one set the background music was scratchy.  Other than that, good.. ",0.2875,2024-12-01
246,178.0,Celtic Christmas,2024-12-15,Gesa Power House Theatre website (www.phtww.org),66+,,Wonderful,,Workshop / Class,Wonderful,,Wonderful ,1.0,2024-12-01
247,178.0,Celtic Christmas,2024-12-15,"Email, Gesa Power House Theatre website (www.phtww.org)",46-55,"$50,001 - $100,000",Good.,,Workshop / Class,Good.,,Good. ,0.7,2024-12-01
248,178.0,Celtic Christmas,2024-12-15,Walla Walla Union Bulletin,56-65,"$100,001 - $200,000",Everything was excallent,The Celtic Christmas ladies were extremely talented and lovely. The staff are wonderful too!,Workshop / Class,Everything was excallent,The Celtic Christmas ladies were extremely talented and lovely. The staff are wonderful too!,Everything was excallent The Celtic Christmas ladies were extremely talented and lovely. The staff are wonderful too!,0.7333333333333334,2024-12-01
249,178.0,Celtic Christmas,2024-12-15,Gesa Power House Theatre website (www.phtww.org),66+,"$50,001 - $100,000",very nicely done.,,Workshop / Class,very nicely done.,,very nicely done. ,0.78,2024-12-01
250,178.0,Celtic Christmas,2024-12-15,Email,66+,"$50,000 or below",It was wonderful,,Workshop / Class,It was wonderful,,It was wonderful ,1.0,2024-12-01
251,178.0,Celtic Christmas,2024-12-15,"Social Media (Facebook, Twitter, Instagram)",66+,"$50,000 or below",Excellent ,,Workshop / Class,Excellent ,,Excellent  ,1.0,2024-12-01
252,178.0,Celtic Christmas,2024-12-15,Email,66+,"$50,001 - $100,000",We enjoyed the intimate size of the theater. Acoustics were good. Nice to have a place in Walla Walla for that special night out. ,,Workshop / Class,We enjoyed the intimate size of the theater. Acoustics were good. Nice to have a place in Walla Walla for that special night out. ,,We enjoyed the intimate size of the theater. Acoustics were good. Nice to have a place in Walla Walla for that special night out.  ,0.4714285714285714,2024-12-01
253,178.0,Celtic Christmas,2024-12-15,Gesa Power House Theatre website (www.phtww.org),66+,"$200,001 or above",the performance was wonderful.  The only issue was the lady sitting next to me decided to get out her cell phone and video tape some of the songs.  This was rude and should be discouraged.  And the astonishing thing is that she sings in the WW Chorale Society.  I am sure the Director whom I know does not want people video taping their performances.  ,,Workshop / Class,the performance was wonderful.  The only issue was the lady sitting next to me decided to get out her cell phone and video tape some of the songs.  This was rude and should be discouraged.  And the astonishing thing is that she sings in the WW Chorale Society.  I am sure the Director whom I know does not want people video taping their performances.  ,,the performance was wonderful.  The only issue was the lady sitting next to me decided to get out her cell phone and video tape some of the songs.  This was rude and should be discouraged.  And the astonishing thing is that she sings in the WW Chorale Society.  I am sure the Director whom I know does not want people video taping their performances.   ,0.2833333333333333,2024-12-01
254,178.0,Celtic Christmas,2024-12-15,Walla Walla Union Bulletin,66+,"$50,001 - $100,000",The performing Artists were superb; overall impression was quite good.....,"The Seating is 'quite tight' with not much room for 'Aisle Movement' through other Seated patrons.....

",Workshop / Class,The performing Artists were superb; overall impression was quite good.....,"The Seating is 'quite tight' with not much room for 'Aisle Movement' through other Seated patrons.....

","The performing Artists were superb; overall impression was quite good..... The Seating is 'quite tight' with not much room for 'Aisle Movement' through other Seated patrons.....

",0.21607142857142855,2024-12-01
255,178.0,Celtic Christmas,2024-12-15,Gesa Power House Theatre website (www.phtww.org),56-65,"$50,000 or below",Had a very enjoyable time.  The artists were wonderful.  Would go again next year. ,,Workshop / Class,Had a very enjoyable time.  The artists were wonderful.  Would go again next year. ,,Had a very enjoyable time.  The artists were wonderful.  Would go again next year.  ,0.5499999999999999,2024-12-01
256,178.0,Celtic Christmas,2024-12-15,Other,26-35,"$50,001 - $100,000",Great! ,,Workshop / Class,Great! ,,Great!  ,1.0,2024-12-01
257,178.0,Celtic Christmas,2024-12-15,Email,66+,"$100,001 - $200,000",It was great,,Workshop / Class,It was great,,It was great ,0.8,2024-12-01
258,178.0,Celtic Christmas,2024-12-15,Gesa Power House Theatre website (www.phtww.org),46-55,"$100,001 - $200,000","Excellent.  Hearing aid app worked great, and nice usher helped me set it up.",,Workshop / Class,"Excellent.  Hearing aid app worked great, and nice usher helped me set it up.",,"Excellent.  Hearing aid app worked great, and nice usher helped me set it up. ",0.7999999999999999,2024-12-01
259,178.0,Celtic Christmas,2024-12-15,Other,66+,"$50,001 - $100,000",Excellent!,,Workshop / Class,Excellent!,,Excellent! ,1.0,2024-12-01
260,178.0,Celtic Christmas,2024-12-15,Email,56-65,"$50,001 - $100,000",Awesome ,,Workshop / Class,Awesome ,,Awesome  ,1.0,2024-12-01
261,178.0,Celtic Christmas,2024-12-15,"Social Media (Facebook, Twitter, Instagram), Email, Gesa Power House Theatre website (www.phtww.org)",56-65,"$200,001 or above",Excellent in every way. ,,Workshop / Class,Excellent in every way. ,,Excellent in every way.  ,1.0,2024-12-01
262,178.0,Celtic Christmas,2024-12-15,Email,66+,"$50,001 - $100,000",Excellent show! Love to see these ladies again and again!,,Workshop / Class,Excellent show! Love to see these ladies again and again!,,Excellent show! Love to see these ladies again and again! ,0.8125,2024-12-01
263,178.0,Celtic Christmas,2024-12-15,Walla Walla Union Bulletin,66+,,"I thought the lighting was appropriate, the sound well volumed, and quality of the presentation superb. I had a bit of a problem with clarity but that's just my hearing deficiencies.  A great show for the money. ",,Workshop / Class,"I thought the lighting was appropriate, the sound well volumed, and quality of the presentation superb. I had a bit of a problem with clarity but that's just my hearing deficiencies.  A great show for the money. ",,"I thought the lighting was appropriate, the sound well volumed, and quality of the presentation superb. I had a bit of a problem with clarity but that's just my hearing deficiencies.  A great show for the money.  ",0.675,2024-12-01
264,178.0,Celtic Christmas,2024-12-15,Walla Walla Union Bulletin,56-65,"$50,001 - $100,000",It was a beautiful event! Such talented ladies! ,,Workshop / Class,It was a beautiful event! Such talented ladies! ,,It was a beautiful event! Such talented ladies!  ,0.625,2024-12-01
265,113.0,The Nutcracker Ballet,2024-12-21,Gesa Power House Theatre website (www.phtww.org),36-45,"$100,001 - $200,000","quality, great 
lighting, great
sound, great
value excellent",A balcony overhanging Mill Creek for to purchase drinks & mingling after the show. The lobby gets pretty crowded,Musical,"quality, great 
lighting, great
sound, great
value excellent",A balcony overhanging Mill Creek for to purchase drinks & mingling after the show. The lobby gets pretty crowded,"quality, great 
lighting, great
sound, great
value excellent A balcony overhanging Mill Creek for to purchase drinks & mingling after the show. The lobby gets pretty crowded",0.6749999999999999,2024-12-01
266,113.0,The Nutcracker Ballet,2024-12-21,"Poster, Social Media (Facebook, Twitter, Instagram), Email, Word of Mouth",36-45,,"Good quality? Lighting, sound. 

I had tickets in rbb and I was not aware my view would be heavily obstructed. If I had known that, I would nOt have purchased the tickets. Those rbb seats should be heavily discounted and it should be clear that only half the stage is visible from those seats. Quite disappointing. ",Rbb seats should have a warning that the view is heavily obstructed and I suggest discounting them 50% based on that. I paid the same price as others who conceivably could see the whole stage. ,Musical,"Good quality? Lighting, sound. 

I had tickets in rbb and I was not aware my view would be heavily obstructed. If I had known that, I would nOt have purchased the tickets. Those rbb seats should be heavily discounted and it should be clear that only half the stage is visible from those seats. Quite disappointing. ",Rbb seats should have a warning that the view is heavily obstructed and I suggest discounting them 50% based on that. I paid the same price as others who conceivably could see the whole stage. ,"Good quality? Lighting, sound. 

I had tickets in rbb and I was not aware my view would be heavily obstructed. If I had known that, I would nOt have purchased the tickets. Those rbb seats should be heavily discounted and it should be clear that only half the stage is visible from those seats. Quite disappointing.  Rbb seats should have a warning that the view is heavily obstructed and I suggest discounting them 50% based on that. I paid the same price as others who conceivably could see the whole stage. ",0.0006410256410256579,2024-12-01
267,113.0,The Nutcracker Ballet,2024-12-21,Word of Mouth,56-65,"$50,001 - $100,000",,,Musical,,, ,,2024-12-01
268,113.0,The Nutcracker Ballet,2024-12-21,Gesa Power House Theatre website (www.phtww.org),66+,"$50,001 - $100,000","Wonderfully done. Mastered preforming the  Nutcracker on the smaller stage venue. Costumes were gorgeous.
We sat mid balcony, the heating was perfect.
",,Musical,"Wonderfully done. Mastered preforming the  Nutcracker on the smaller stage venue. Costumes were gorgeous.
We sat mid balcony, the heating was perfect.
",,"Wonderfully done. Mastered preforming the  Nutcracker on the smaller stage venue. Costumes were gorgeous.
We sat mid balcony, the heating was perfect.
 ",0.54,2024-12-01
269,113.0,The Nutcracker Ballet,2024-12-21,Email,66+,"$50,000 or below",Loved it all,,Musical,Loved it all,,Loved it all ,0.7,2024-12-01
270,113.0,The Nutcracker Ballet,2024-12-21,"Social Media (Facebook, Twitter, Instagram)",26-35,"$100,001 - $200,000",Couple of the Staff seemed a bit annoyed but otherwise great!,,Musical,Couple of the Staff seemed a bit annoyed but otherwise great!,,Couple of the Staff seemed a bit annoyed but otherwise great! ,0.3,2024-12-01
271,113.0,The Nutcracker Ballet,2024-12-21,Word of Mouth,46-55,"$100,001 - $200,000",Great event,Offer more events with local artists,Musical,Great event,Offer more events with local artists,Great event Offer more events with local artists,0.43333333333333335,2024-12-01
272,113.0,The Nutcracker Ballet,2024-12-21,Gesa Power House Theatre website (www.phtww.org),66+,"$50,001 - $100,000",They were surprisingly amazing. I look forward to seeing them again next year.,,Musical,They were surprisingly amazing. I look forward to seeing them again next year.,,They were surprisingly amazing. I look forward to seeing them again next year. ,0.30000000000000004,2024-12-01
273,113.0,The Nutcracker Ballet,2024-12-21,"Social Media (Facebook, Twitter, Instagram)",66+,"$50,000 or below",Wonderful ,I took my 5 year old granddaughter and we thoroughly enjoyed every moment ,Musical,Wonderful ,I took my 5 year old granddaughter and we thoroughly enjoyed every moment ,Wonderful  I took my 5 year old granddaughter and we thoroughly enjoyed every moment ,0.5333333333333333,2024-12-01
274,113.0,The Nutcracker Ballet,2024-12-21,"Social Media (Facebook, Twitter, Instagram)",56-65,,"Great performance, talented dancers. Theatre was comfortable and temperature was perfect! The wait line at intermission was quite long, most likely from making their wine choices. I wish they didn't serve liquor tho. I will go see THIS show again, but probably nothing else",,Musical,"Great performance, talented dancers. Theatre was comfortable and temperature was perfect! The wait line at intermission was quite long, most likely from making their wine choices. I wish they didn't serve liquor tho. I will go see THIS show again, but probably nothing else",,"Great performance, talented dancers. Theatre was comfortable and temperature was perfect! The wait line at intermission was quite long, most likely from making their wine choices. I wish they didn't serve liquor tho. I will go see THIS show again, but probably nothing else ",0.4785714285714286,2024-12-01
275,113.0,The Nutcracker Ballet,2024-12-21,Word of Mouth,56-65,"$50,000 or below",It was wonderful.  Everything was just great.,,Musical,It was wonderful.  Everything was just great.,,It was wonderful.  Everything was just great. ,0.9,2024-12-01
276,113.0,The Nutcracker Ballet,2024-12-21,Word of Mouth,56-65,"$50,001 - $100,000",Absolutely fabulous! ,,Musical,Absolutely fabulous! ,,Absolutely fabulous!  ,0.5,2024-12-01
277,113.0,The Nutcracker Ballet,2024-12-21,Word of Mouth,56-65,"$50,001 - $100,000",fantastic,,Musical,fantastic,,fantastic ,0.4,2024-12-01
278,113.0,The Nutcracker Ballet,2024-12-21,Word of Mouth,36-45,"$100,001 - $200,000",Wonderful! It was a lovely experience,"A wider variety of snack options would be great. One of the women’s bathroom stalls was out of order, so the line was long to use the bathroom during the intermission. That’s the only suggestion I have for improvement. ",Musical,Wonderful! It was a lovely experience,"A wider variety of snack options would be great. One of the women’s bathroom stalls was out of order, so the line was long to use the bathroom during the intermission. That’s the only suggestion I have for improvement. ","Wonderful! It was a lovely experience A wider variety of snack options would be great. One of the women’s bathroom stalls was out of order, so the line was long to use the bathroom during the intermission. That’s the only suggestion I have for improvement. ",0.45,2024-12-01
279,113.0,The Nutcracker Ballet,2024-12-22,Word of Mouth,36-45,"$200,001 or above",Event was wonderful! Balcony seating was a challenge.,"I would suggest adding additional information regarding the seating arrangements on the balcony level. Some places are difficult to see performance, hard to get into due to others in the AA row (who refuse to stand up) causing a scary experience with the low railing. I would recommend noting the wall next to BB1 and up and you can not exit if needing to. Sign points up to ladies room however when you walk up the stairs above the gentleman room it’s only a dressing from for the actors no public restroom sign is a bit miss leading. Coffee would be an excellent addition to the offerings! ",Musical,Event was wonderful! Balcony seating was a challenge.,"I would suggest adding additional information regarding the seating arrangements on the balcony level. Some places are difficult to see performance, hard to get into due to others in the AA row (who refuse to stand up) causing a scary experience with the low railing. I would recommend noting the wall next to BB1 and up and you can not exit if needing to. Sign points up to ladies room however when you walk up the stairs above the gentleman room it’s only a dressing from for the actors no public restroom sign is a bit miss leading. Coffee would be an excellent addition to the offerings! ","Event was wonderful! Balcony seating was a challenge. I would suggest adding additional information regarding the seating arrangements on the balcony level. Some places are difficult to see performance, hard to get into due to others in the AA row (who refuse to stand up) causing a scary experience with the low railing. I would recommend noting the wall next to BB1 and up and you can not exit if needing to. Sign points up to ladies room however when you walk up the stairs above the gentleman room it’s only a dressing from for the actors no public restroom sign is a bit miss leading. Coffee would be an excellent addition to the offerings! ",0.053030303030303025,2024-12-01
280,113.0,The Nutcracker Ballet,2024-12-22,Word of Mouth,66+,,This was a very high quality program.  Thanks for making the space available.,,Musical,This was a very high quality program.  Thanks for making the space available.,,This was a very high quality program.  Thanks for making the space available. ,0.26933333333333337,2024-12-01
281,113.0,The Nutcracker Ballet,2024-12-22,Poster,36-45,"$200,001 or above",Excellent ,We sat on the balcony in the third row.  The woman in the first row leaned forward the whole time which made it really hard for us to see.  Maybe a note in the front row balcony seats not to lean forward would be great.  Our kids really struggled and even my husband and I had a hard time seeing the middle of the stage.  ,Musical,Excellent ,We sat on the balcony in the third row.  The woman in the first row leaned forward the whole time which made it really hard for us to see.  Maybe a note in the front row balcony seats not to lean forward would be great.  Our kids really struggled and even my husband and I had a hard time seeing the middle of the stage.  ,Excellent  We sat on the balcony in the third row.  The woman in the first row leaned forward the whole time which made it really hard for us to see.  Maybe a note in the front row balcony seats not to lean forward would be great.  Our kids really struggled and even my husband and I had a hard time seeing the middle of the stage.  ,0.20740740740740737,2024-12-01
282,113.0,The Nutcracker Ballet,2024-12-22,Gesa Power House Theatre website (www.phtww.org),56-65,"$200,001 or above",Amazing! Loved the ballet and costumes!,,Musical,Amazing! Loved the ballet and costumes!,,Amazing! Loved the ballet and costumes! ,0.8125,2024-12-01
283,113.0,The Nutcracker Ballet,2024-12-22,Email,66+,"$50,001 - $100,000","While obviously different from performances we’ve seen in NY, San Francisco and Seattle, it was absolutely charming, well done and all the more so due to the well-done inclusion of all age groups. We took our adult children and our grandchildren and all had a good time - and said so afterward. ",,Musical,"While obviously different from performances we’ve seen in NY, San Francisco and Seattle, it was absolutely charming, well done and all the more so due to the well-done inclusion of all age groups. We took our adult children and our grandchildren and all had a good time - and said so afterward. ",,"While obviously different from performances we’ve seen in NY, San Francisco and Seattle, it was absolutely charming, well done and all the more so due to the well-done inclusion of all age groups. We took our adult children and our grandchildren and all had a good time - and said so afterward.  ",0.3125,2024-12-01
284,113.0,The Nutcracker Ballet,2024-12-22,Walla Walla Union Bulletin,66+,"$200,001 or above",Average,,Musical,Average,,Average ,-0.15,2024-12-01
285,113.0,The Nutcracker Ballet,2024-12-22,Walla Walla Union Bulletin,66+,,"Costumes were beautiful!  Sound was very good. Choreography was a little lacking, albeit, we are working with the younger set.  For me and I do tend to be more critical, $50 seemed a little steep.  It was an enjoyable evening and I know the revenue is greatly appreciated.  -You asked. ",,Musical,"Costumes were beautiful!  Sound was very good. Choreography was a little lacking, albeit, we are working with the younger set.  For me and I do tend to be more critical, $50 seemed a little steep.  It was an enjoyable evening and I know the revenue is greatly appreciated.  -You asked. ",,"Costumes were beautiful!  Sound was very good. Choreography was a little lacking, albeit, we are working with the younger set.  For me and I do tend to be more critical, $50 seemed a little steep.  It was an enjoyable evening and I know the revenue is greatly appreciated.  -You asked.  ",0.3135,2024-12-01
286,114.0,Kira Soltanovich,2024-12-31,"Social Media (Facebook, Twitter, Instagram)",66+,"$50,000 or below",Very disappointed!  The replacement comedians were not very good.,,Musical,Very disappointed!  The replacement comedians were not very good.,,Very disappointed!  The replacement comedians were not very good. ,-0.6346153846153846,2024-12-01
